1296,2026-07-26 05:52:31,boot
91308,2026-07-26 05:54:02,sensorTask timeout
1297,2026-07-26 05:54:03,boot
91309,2026-07-26 05:55:34,sensorTask timeout
1297,2026-07-26 05:55:35,boot
91309,2026-07-26 05:57:06,sensorTask timeout
1298,2026-07-26 05:57:07,boot
96309,2026-07-26 05:58:43,sensorTask timeout
1298,2026-07-26 05:58:44,boot
91312,2026-07-26 06:00:15,sensorTask timeout
1298,2026-07-26 06:00:16,boot
91310,2026-07-26 06:01:46,sensorTask timeout
1299,2026-07-26 06:01:47,boot
96310,2026-07-26 06:03:23,sensorTask timeout
1299,2026-07-26 06:03:24,boot
91311,2026-07-26 06:04:55,sensorTask timeout
1300,2026-07-26 06:04:56,boot
96311,2026-07-26 06:06:32,sensorTask timeout
1300,2026-07-26 06:06:33,boot
91312,2026-07-26 06:08:04,sensorTask timeout
1300,2026-07-26 06:08:05,boot
91312,2026-07-26 06:09:36,sensorTask timeout
1301,2026-07-26 06:09:37,boot
91358,2026-07-26 06:11:08,sensorTask timeout
1296,2026-07-26 06:11:09,boot
96307,2026-07-26 06:12:45,sensorTask timeout
1290,2026-07-26 06:12:46,boot
91302,2026-07-26 06:14:17,sensorTask timeout
1290,2026-07-26 06:14:18,boot
91302,2026-07-26 06:15:49,sensorTask timeout
1290,2026-07-26 06:15:50,boot
96302,2026-07-26 06:17:26,sensorTask timeout
1291,2026-07-26 06:17:27,boot
91303,2026-07-26 06:18:57,sensorTask timeout
1291,2026-07-26 06:18:59,boot
91303,2026-07-26 06:20:29,sensorTask timeout
1292,2026-07-26 06:20:30,boot
96303,2026-07-26 06:22:06,sensorTask timeout
1292,2026-07-26 06:22:07,boot
91304,2026-07-26 06:23:38,sensorTask timeout
1292,2026-07-26 06:23:39,boot
96304,2026-07-26 06:25:15,sensorTask timeout
1293,2026-07-26 06:25:16,boot
91305,2026-07-26 06:26:47,sensorTask timeout
1293,2026-07-26 06:26:48,boot
91305,2026-07-26 06:28:19,sensorTask timeout
1294,2026-07-26 06:28:20,boot
96305,2026-07-26 06:29:56,sensorTask timeout
1294,2026-07-26 06:29:57,boot
91308,2026-07-26 06:31:28,sensorTask timeout
1294,2026-07-26 06:31:29,boot
91306,2026-07-26 06:33:00,sensorTask timeout
1295,2026-07-26 06:33:01,boot
91307,2026-07-26 06:34:32,sensorTask timeout
1295,2026-07-26 06:34:33,boot
91307,2026-07-26 06:36:03,sensorTask timeout
1296,2026-07-26 06:36:04,boot
91308,2026-07-26 06:37:35,sensorTask timeout
1296,2026-07-26 06:37:36,boot
91308,2026-07-26 06:39:07,sensorTask timeout
1296,2026-07-26 06:39:08,boot
91308,2026-07-26 06:40:39,sensorTask timeout
1297,2026-07-26 06:40:40,boot
96308,2026-07-26 06:42:16,sensorTask timeout
1297,2026-07-26 06:42:17,boot
91309,2026-07-26 06:43:48,sensorTask timeout
1298,2026-07-26 06:43:49,boot
91310,2026-07-26 06:45:20,sensorTask timeout
1298,2026-07-26 06:45:21,boot
91310,2026-07-26 06:46:52,sensorTask timeout
1299,2026-07-26 06:46:53,boot
96310,2026-07-26 06:48:29,sensorTask timeout
1299,2026-07-26 06:48:30,boot
91311,2026-07-26 06:50:01,sensorTask timeout
1300,2026-07-26 06:50:02,boot
96311,2026-07-26 06:51:38,sensorTask timeout
